"Time","avg(U (1))"
80.2,0.17898
80.4,0.21739
80.6,0.24834
80.8,0.27036
81,0.28268
81.2,0.28556
81.4,0.27992
81.6,0.26625
81.8,0.24503
82,0.21675
82.2,0.18278
82.4,0.14424
82.6,0.10179
82.8,0.056325
83,0.0086083
83.2,-0.039916
83.4,-0.088492
83.6,-0.13524
83.8,-0.17842
84,-0.21573
84.2,-0.24537
84.4,-0.26606
84.6,-0.27776
84.8,-0.28056
85,-0.27527
85.2,-0.26194
85.4,-0.24078
85.6,-0.21271
85.8,-0.17895
86,-0.14067
86.2,-0.098357
86.4,-0.052688
86.6,-0.0044996
86.8,0.044741
87,0.093799
87.2,0.1408
87.4,0.18427
87.6,0.22184
87.8,0.25173
88,0.27257
88.2,0.28363
88.4,0.28539
88.6,0.2787
88.8,0.26404
89,0.24187
89.2,0.21277
89.4,0.17814
89.6,0.13907
89.8,0.096172
90,0.050332
90.2,0.0024293
90.4,-0.046192
90.6,-0.094653
90.8,-0.14104
91,-0.18362
91.2,-0.22005
91.4,-0.24859
91.6,-0.26812
91.8,-0.27867
92,-0.28038
92.2,-0.27405
92.4,-0.2597
92.6,-0.23758
92.8,-0.20871
93,-0.17427
93.2,-0.13545
93.4,-0.092617
93.6,-0.046596
93.8,0.0018033
94,0.051107
94.2,0.10006
94.4,0.14667
94.6,0.18952
94.8,0.2262
95,0.25499
95.2,0.27462
95.4,0.2844
95.6,0.28503
95.8,0.27729
96,0.26163
96.2,0.2385
96.4,0.20861
96.6,0.17334
96.8,0.13372
97,0.09035
97.2,0.044177
97.4,-0.0038967
97.6,-0.052498
97.8,-0.10083
98,-0.14683
98.2,-0.18876
98.4,-0.22425
98.6,-0.25165
98.8,-0.27002
99,-0.2794
99.2,-0.28003
99.4,-0.27266
99.6,-0.25727
99.8,-0.23421
100,-0.20455
